Country,Year,Livability_Score,Lower_Bound,Upper_Bound,Latest_Score
Kiribati,2026,0.6439634898897365,0.6310818066213537,0.6580666657272056,0.590730352517919
Kiribati,2027,0.6491824876294386,0.6310107889037173,0.6684500179437942,0.590730352517919
South Korea,2023,0.7192923043396849,0.7171237434469502,0.7214344269385022,0.7101198765101813
South Korea,2024,0.7210683867761479,0.7150023493575531,0.7267264333215455,0.7101198765101813
South Korea,2025,0.7228493351918889,0.7115973631423456,0.7327304967556607,0.7101198765101813
South Korea,2026,0.7246254176283516,0.7072807060939166,0.740312071689047,0.7101198765101813
South Korea,2027,0.7264015000648146,0.7031727343390437,0.7490393469533594,0.7101198765101813
Kuwait,2023,0.6057218093342126,0.6005333782356199,0.6112150895276947,0.617775537302349
Kuwait,2024,0.6047449716703533,0.5923347457918161,0.6174644200696972,0.617775537302349
Kuwait,2025,0.6037654577389219,0.5829759208144748,0.6259599036938899,0.617775537302349
Kuwait,2026,0.6027886200750627,0.5716454718478784,0.6367533715759955,0.617775537302349
Kuwait,2027,0.6018117824112035,0.5573110387095686,0.6483700069563049,0.617775537302349
Laos,2023,0.6825894847330727,0.6621336666596092,0.7033505070906,0.706092783477982
Laos,2024,0.685047184327884,0.662879843416638,0.7063890176416406,0.706092783477982
Laos,2025,0.6875116173462428,0.6673534235619569,0.7091183845065228,0.706092783477982
Laos,2026,0.6899693169410541,0.6698588286131396,0.7108233466724707,0.706092783477982
Laos,2027,0.6924270165358655,0.6730430624571594,0.7154045506542149,0.706092783477982
Lebanon,2023,0.5793408464436337,0.576390320022995,0.5819514441340384,0.5345755150637985
Lebanon,2024,0.5781533524967655,0.5687587897480607,0.5868727079014247,0.5345755150637985
Lebanon,2025,0.5769626051418236,0.5611841639805736,0.5927689748400934,0.5345755150637985
Lebanon,2026,0.5757751111949554,0.5507978816222492,0.5994541004393712,0.5345755150637985
Lebanon,2027,0.5745876172480872,0.5396878552285014,0.6072308825927348,0.5345755150637985
Liberia,2023,0.5955881078607714,0.5918212408376471,0.5994352053246356,0.6010653949130047
