Country,Latest_Score,Latest_Year,Forecast_2030,Change,Percent_Change
UKR,0.5728599647550249,2022,0.5773407409665262,0.004480776211501336,0.78
TJK,0.5908218300575717,2022,0.5764982128528734,-0.014323617204698325,-2.42
CPV,0.5782942510171314,2022,0.5751345121673763,-0.003159738849755067,-0.55
KAZ,0.5824985271302399,2022,0.5749705472474348,-0.007527979882805069,-1.29
RWA,0.5400587724342247,2022,0.5723704226986478,0.032311650264423064,5.98
ETH,0.5558528495953478,2022,0.5719108736738299,0.016058024078482114,2.89
OMN,0.5876707879857527,2022,0.5713870472071391,-0.01628374077861361,-2.77
SEN,0.5592906246722811,2022,0.5681577723940654,0.008867147721784319,1.59
ARM,0.5722414635095449,2022,0.5652655127224047,-0.006975950787140195,-1.22
TUV,0.5624415676310796,2022,0.5638447719836821,0.0014032043526025495,0.25
MAR,0.5598807436912776,2022,0.5629309817570225,0.0030502380657448924,0.54
MOZ,0.5502392177965469,2022,0.5629069677928079,0.012667749996260969,2.3
CIV,0.5135211015106951,2022,0.5566067887252085,0.043085687214513446,8.39
NGA,0.5444808868315961,2022,0.5547273286995187,0.010246441867922562,1.88
AGO,0.5341021392647156,2022,0.5535782046207085,0.01947606535599289,3.65
BEN,0.5169582795164226,2022,0.5529231966602207,0.035964917143798125,6.96
EGY,0.5247547311918385,2022,0.5500030519780112,0.025248320786172784,4.81
SYR,0.5212374239704586,2022,0.5495425626379472,0.028305138667488627,5.43
IRN,0.5484920901026451,2022,0.5462158544133328,-0.0022762356893123448,-0.41
COM,0.5533945548922345,2022,0.540598331594338,-0.012796223297896536,-2.31
ZWE,0.5780246074589541,2022,0.5351843319832376,-0.04284027547571656,-7.41
JOR,0.5410233289022366,2022,0.5336352619331349,-0.007388066969101659,-1.37
SLE,0.5072876517426778,2022,0.5335784083604218,0.02629075661774405,5.18
DZA,0.533249870510632,2022,0.533216098980537,-3.377153009498368e-05,-0.01
HTI,0.5082408633218185,2022,0.5316968754201564,0.02345601209833792,4.62
GMB,0.5224834289791516,2022,0.5297794906809433,0.007296061701791756,1.4
TUN,0.5394369311469032,2022,0.5296870548044973,-0.009749876342405872,-1.81
NRU,0.5158992922562474,2022,0.5242112928512884,0.008312000595041003,1.61
GIN,0.4992158993629285,2022,0.5238081061456759,0.024592206782747372,4.93
PAK,0.5382484158759516,2022,0.5225372729186711,-0.01571114295728049,-2.92
BDI,0.5195202802613441,2022,0.5197392806628804,0.00021900040153632894,0.04
IRQ,0.5167577470977918,2022,0.5009496622627125,-0.015808084835079228,-3.06
SDN,0.49765906148364436,2022,0.49723615179162,-0.0004229096920243536,-0.08
BWA,0.5096308109706893,2022,0.49337813744184367,-0.01625267352884563,-3.19
MWI,0.49205554199765716,2022,0.4932762298741029,0.0012206878764457474,0.25
SWZ,0.5062171231415965,2022,0.4900555672157933,-0.016161555925803206,-3.19
MLI,0.4833202452450982,2022,0.4857999722154092,0.0024797269703110136,0.51
CAF,0.4775818913548352,2022,0.48255690152250363,0.004975010167668437,1.04
NAM,0.4607995204196544,2022,0.4741373188100189,0.01333779839036453,2.89
LSO,0.42854833153507726,2022,0.4692780010978326,0.04072966956275531,9.5
LBN,0.5345755150632034,2022,0.4686899806020921,-0.06588553446111134,-12.32
NER,0.4645619959995738,2022,0.4659308109352353,0.0013688149356614887,0.29
SOM,0.47519809890918147,2022,0.4655349859614129,-0.00966311294776856,-2.03
LBY,0.4605683946153615,2022,0.4609673309709562,0.0003989363555947367,0.09
AFG,0.42809587780265496,2022,0.4481630176100862,0.020067139807431245,4.69
